127.0.0.1 - - [12/Dec/2019:11:09:14 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:09:16 +0900] "GET /Exam/Fail.jsp HTTP/1.1" 200 165
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:10:40 +0900] "GET /Exam/Fail.jsp HTTP/1.1" 200 169
0:0:0:0:0:0:0:1 - - [12/Dec/2019:13:30:51 +0900] "GET /Exam/INHA_Shopping_Main.jsp HTTP/1.1" 200 273
0:0:0:0:0:0:0:1 - - [12/Dec/2019:13:30:52 +0900] "GET /Exam/Menu.jsp HTTP/1.1" 200 297
0:0:0:0:0:0:0:1 - - [12/Dec/2019:13:30:52 +0900] "GET /Exam/Main_View.jsp HTTP/1.1" 200 157
0:0:0:0:0:0:0:1 - - [12/Dec/2019:13:30:52 +0900] "GET /Exam/image/LOGO.JPG HTTP/1.1" 200 55266
0:0:0:0:0:0:0:1 - - [12/Dec/2019:13:30:52 +0900] "GET /Exam/Product_Menu.jsp HTTP/1.1" 200 562
0:0:0:0:0:0:0:1 - - [12/Dec/2019:13:30:52 +0900] "GET /Exam/Member_Menu.jsp HTTP/1.1" 200 664
0:0:0:0:0:0:0:1 - - [12/Dec/2019:13:30:52 +0900] "GET /Exam/image/p1.JPG HTTP/1.1" 200 13770
0:0:0:0:0:0:0:1 - - [12/Dec/2019:13:30:52 +0900] "GET /Exam/image/p2.JPG HTTP/1.1" 200 13965
0:0:0:0:0:0:0:1 - - [12/Dec/2019:13:30:52 +0900] "GET /Exam/image/p3.JPG HTTP/1.1" 200 13807
0:0:0:0:0:0:0:1 - - [12/Dec/2019:13:30:52 +0900] "GET /Exam/image/p4.JPG HTTP/1.1" 200 13754
0:0:0:0:0:0:0:1 - - [12/Dec/2019:13:30:52 +0900] "GET /Exam/image/Login.JPG HTTP/1.1" 200 10662
0:0:0:0:0:0:0:1 - - [12/Dec/2019:13:30:52 +0900] "GET /Exam/image/Logout.JPG HTTP/1.1" 200 11815
0:0:0:0:0:0:0:1 - - [12/Dec/2019:13:30:52 +0900] "GET /Exam/image/m2.JPG HTTP/1.1" 200 14276
0:0:0:0:0:0:0:1 - - [12/Dec/2019:13:30:52 +0900] "GET /Exam/image/m1.JPG HTTP/1.1" 200 14311
0:0:0:0:0:0:0:1 - - [12/Dec/2019:13:30:52 +0900] "GET /Exam/image/m4.JPG HTTP/1.1" 200 14331
0:0:0:0:0:0:0:1 - - [12/Dec/2019:13:30:52 +0900] "GET /Exam/image/m3.JPG HTTP/1.1" 200 14185
0:0:0:0:0:0:0:1 - - [12/Dec/2019:13:30:56 +0900] "GET /Exam/Member_Insert_UI.jsp HTTP/1.1" 200 247
0:0:0:0:0:0:0:1 - - [12/Dec/2019:13:30:57 +0900] "GET /Exam/Member_Select_List.jsp HTTP/1.1" 200 138
